"experiment","case","success","total","prompt_tokens_mean","output_tokens_mean","concurrency","prefill_time_avg_ms","native_ttft_avg_ms","queue_avg_ms","preemptions_delta"
"E1","e1-c1",60,60,1028.0,256.0,1,108.440582,117.750188,0.020916,0
"E1","e1-c4",60,60,1028.0,256.0,4,264.073814,316.265206,11.387028,0
"E1","e1-c8",60,60,1028.0,256.0,8,366.916219,537.238614,95.300518,0
"E1","e1-c16",60,60,1028.0,256.0,16,444.561188,868.66399,296.516383,0
"E1","e1-c32",60,60,1028.0,256.0,32,489.446139,1492.518242,872.970107,0
"E2","e2-p128",60,60,137.0,256.0,4,45.589761,57.331308,0.019573,0
"E2","e2-p512",60,60,515.0,256.0,4,143.053306,172.957468,0.017032,0
"E2","e2-p1024",60,60,1028.0,256.0,4,260.536698,310.606579,4.766202,0
"E2","e2-p2048",60,60,2054.0,256.0,4,474.633726,667.975907,61.299987,0
"E3A","e3a-seq8-c1",60,60,1028.0,256.0,1,108.305729,117.365197,0.019402,0
"E3A","e3a-seq8-c8",60,60,1028.0,256.0,8,370.635432,542.495934,97.8706,0
"E3A","e3a-seq8-c16",60,60,1028.0,256.0,16,289.784425,2481.894195,2084.230888,0
"E3A","e3a-seq8-c32",60,60,1028.0,256.0,32,289.643478,5844.094193,5440.930585,0
"E3B","e3b-mem040-c8",60,60,1028.0,256.0,8,366.888479,544.562248,103.223181,0
"E3B","e3b-mem040-c16",60,60,1028.0,256.0,16,444.718796,852.191047,299.561134,0
"E3B","e3b-mem040-c32",60,60,1028.0,256.0,32,489.328997,1495.059578,870.026604,0
"E3B","e3b-mem035-c8",60,60,1028.0,256.0,8,370.141602,545.193732,100.097331,0
"E3B","e3b-mem035-c16",60,60,1028.0,256.0,16,444.189761,875.676318,320.261614,0
"E3B","e3b-mem035-c32",60,60,1028.0,256.0,32,489.660562,1493.726412,872.688648,0
